Method,Parameter,Seed,Trial ID,QD Score,Coverage
add_equal_noise,1,1111,20,55.07742745002441,59.0
add_equal_noise,1,2222,20,56.57290164227621,59.48
add_equal_noise,1,3333,20,56.56666128772726,59.8
add_equal_noise,1,4444,20,56.54325004091242,59.64
add_equal_noise,1,Mean,Mean,56.19006010523508,59.47999999999999
add_equal_noise,1,STD,STD,0.6424738611888093,0.2993325909419146
add_equal_noise,2,1111,21,55.48716231429126,60.0
add_equal_noise,2,2222,21,57.09505460116806,59.64
add_equal_noise,2,3333,21,56.82645254739041,60.28
add_equal_noise,2,4444,21,56.33237217629894,60.24
add_equal_noise,2,Mean,Mean,56.43526040978717,60.040000000000006
add_equal_noise,2,STD,STD,0.6119304802785712,0.25455844122715754
add_equal_noise,5,1111,22,56.64219176119621,60.16
add_equal_noise,5,2222,22,57.06821908273351,60.04
add_equal_noise,5,3333,22,55.937436851007924,59.2
add_equal_noise,5,4444,22,54.34178817503598,56.52
add_equal_noise,5,Mean,Mean,55.997408967493406,58.98
add_equal_noise,5,STD,STD,1.037672397378964,1.4676511847165845
add_equal_noise,10,1111,23,53.79745284750662,57.92
add_equal_noise,10,2222,23,53.71131393220068,56.52
add_equal_noise,10,3333,23,53.676774479809424,56.96
add_equal_noise,10,4444,23,52.7840409932593,55.72
add_equal_noise,10,Mean,Mean,53.49239556319401,56.78
add_equal_noise,10,STD,STD,0.4113231638992577,0.794229186066592
add_equal_noise,15,1111,24,50.49872450219606,54.64
add_equal_noise,15,2222,24,53.29462336478129,55.84
add_equal_noise,15,3333,24,53.32802927217904,56.28
add_equal_noise,15,4444,24,47.48327594111811,49.28
add_equal_noise,15,Mean,Mean,51.15116327006862,54.01
add_equal_noise,15,STD,STD,2.4089541596130783,2.7960507863771005
add_equal_noise,20,1111,25,45.53416519098609,49.64
add_equal_noise,20,2222,25,28.489432483517565,30.2
add_equal_noise,20,3333,25,49.17360306575846,51.04
add_equal_noise,20,4444,25,46.35068573902711,48.24
add_equal_noise,20,Mean,Mean,42.386971619822305,44.78
add_equal_noise,20,STD,STD,8.136581244927896,8.475777250494493
add_equal_noise,25,1111,26,37.12576858993212,39.52
add_equal_noise,25,2222,26,50.37583224967362,52.6
add_equal_noise,25,3333,26,42.003112713586425,44.6
add_equal_noise,25,4444,26,44.190063399492786,46.32
add_equal_noise,25,Mean,Mean,43.42369423817124,45.76
add_equal_noise,25,STD,STD,4.759240064367966,4.673927684506896
