Method,Parameter,Seed,Trial ID,QD Score,Coverage
flip_by_distance,1,1111,30,55.63026345998803,59.2
flip_by_distance,1,2222,30,56.86022327729334,59.48
flip_by_distance,1,3333,30,57.41114813160815,60.84
flip_by_distance,1,4444,30,54.474436080982954,57.04
flip_by_distance,1,Mean,Mean,56.09401773746812,59.14
flip_by_distance,1,STD,STD,1.135783449466782,1.3619104228986587
flip_by_distance,2,1111,31,55.10577811338373,59.08
flip_by_distance,2,2222,31,57.677416351540664,60.48
flip_by_distance,2,3333,31,56.55025502203404,59.88
flip_by_distance,2,4444,31,55.240273951271305,57.92
flip_by_distance,2,Mean,Mean,56.14343085955744,59.34
flip_by_distance,2,STD,STD,1.0501229703487842,0.9585405573057396
flip_by_distance,5,1111,32,54.498746524948174,57.96
flip_by_distance,5,2222,32,55.79859343769648,58.76
flip_by_distance,5,3333,32,54.885943859032785,58.2
flip_by_distance,5,4444,32,34.785139766976705,36.84
flip_by_distance,5,Mean,Mean,49.99210589716353,52.940000000000005
flip_by_distance,5,STD,STD,8.792419692383397,9.299870966846797
flip_by_distance,10,1111,33,51.52651805594056,54.64
flip_by_distance,10,2222,33,54.107929412271545,57.04
flip_by_distance,10,3333,33,51.52478241241265,54.64
flip_by_distance,10,4444,33,14.809500401011595,16.08
flip_by_distance,10,Mean,Mean,42.99218257040909,45.599999999999994
flip_by_distance,10,STD,STD,16.305394386191733,17.071520143209273
flip_by_distance,15,1111,34,23.35784274029288,25.36
flip_by_distance,15,2222,34,49.37674305129533,51.96
flip_by_distance,15,3333,34,50.10637610220232,53.12
flip_by_distance,15,4444,34,28.524726876767147,29.88
flip_by_distance,15,Mean,Mean,37.84142219263942,40.08
flip_by_distance,15,STD,STD,12.042296366111776,12.568754910491334
flip_by_distance,20,1111,35,18.243028988591995,19.12
flip_by_distance,20,2222,35,43.25895051730613,45.0
flip_by_distance,20,3333,35,46.75658120646769,48.64
flip_by_distance,20,4444,35,3.301263671599265,3.64
flip_by_distance,20,Mean,Mean,27.88995609599127,29.1
flip_by_distance,20,STD,STD,17.957049662587217,18.590545984451346
flip_by_distance,25,1111,36,21.38522864865242,22.96
flip_by_distance,25,2222,36,10.333956711029677,10.52
flip_by_distance,25,3333,36,22.58156803789435,23.44
flip_by_distance,25,4444,36,11.484825053024645,16.52
flip_by_distance,25,Mean,Mean,16.446394612650273,18.36
flip_by_distance,25,STD,STD,5.568022633511066,5.287192071411819
flip_by_distance,30,1111,37,12.07950829045575,16.92
flip_by_distance,30,2222,37,24.042314544392582,24.92
flip_by_distance,30,3333,37,40.93315155628096,42.76
flip_by_distance,30,4444,37,13.3765958668018,14.56
flip_by_distance,30,Mean,Mean,22.607892564482775,24.79
flip_by_distance,30,STD,STD,11.553531902357001,11.062635309906947
flip_by_distance,1,1111,30,55.63026345998803,59.2
flip_by_distance,1,2222,30,56.86022327729334,59.48
flip_by_distance,1,3333,30,57.41114813160815,60.84
flip_by_distance,1,4444,30,54.474436080982954,57.04
flip_by_distance,1,5555,30,56.30582689322187,59.68
flip_by_distance,1,6666,30,56.564959194933984,60.04
flip_by_distance,1,7777,30,56.87275739036748,59.96
flip_by_distance,1,8888,30,57.17156529472269,60.64
flip_by_distance,1,9999,30,58.07481535259788,61.68
flip_by_distance,1,42,30,55.03626867446879,59.96
flip_by_distance,1,Mean,Mean,56.44022637501852,59.852
flip_by_distance,1,STD,STD,1.0506187415770585,1.1617986056111451
flip_by_distance,2,1111,31,55.10577811338373,59.08
flip_by_distance,2,2222,31,57.677416351540664,60.48
flip_by_distance,2,3333,31,56.55025502203404,59.88
flip_by_distance,2,4444,31,55.240273951271305,57.92
flip_by_distance,2,5555,31,55.93723150504712,59.52
flip_by_distance,2,6666,31,56.37220950953396,59.0
flip_by_distance,2,7777,31,55.353436017811426,59.36
flip_by_distance,2,8888,31,56.39710450837013,59.36
flip_by_distance,2,9999,31,55.39586191947961,58.76
flip_by_distance,2,42,31,56.335548202993756,60.68
flip_by_distance,2,Mean,Mean,56.03651151014657,59.403999999999996
flip_by_distance,2,STD,STD,0.7533779892605775,0.7690929722731833
flip_by_distance,5,1111,32,54.498746524948174,57.96
flip_by_distance,5,2222,32,55.79859343769648,58.76
flip_by_distance,5,3333,32,54.885943859032785,58.2
flip_by_distance,5,4444,32,34.785139766976705,36.84
flip_by_distance,5,5555,32,47.96577405989624,50.6
flip_by_distance,5,6666,32,55.279930972438876,57.68
flip_by_distance,5,7777,32,54.381993056134085,58.76
flip_by_distance,5,8888,32,55.50320593728406,59.08
flip_by_distance,5,9999,32,55.837757912933725,59.04
flip_by_distance,5,42,32,54.115540482085976,57.44
flip_by_distance,5,Mean,Mean,52.305262600942704,55.436
flip_by_distance,5,STD,STD,6.233814600655181,6.637962337946788
flip_by_distance,10,1111,33,51.52651805594056,54.64
flip_by_distance,10,2222,33,54.107929412271545,57.04
flip_by_distance,10,3333,33,51.52478241241265,54.64
flip_by_distance,10,4444,33,14.809500401011595,16.08
flip_by_distance,10,5555,33,48.519091257268386,51.2
flip_by_distance,10,6666,33,53.634831090996926,56.64
flip_by_distance,10,7777,33,53.668557787745506,57.0
flip_by_distance,10,8888,33,54.2615326289749,56.52
flip_by_distance,10,9999,33,51.70754706840572,54.8
flip_by_distance,10,42,33,46.533448075440404,50.32
flip_by_distance,10,Mean,Mean,48.02937381904681,50.888
flip_by_distance,10,STD,STD,11.327067815648737,11.813061245926054
flip_by_distance,15,1111,34,23.35784274029288,25.36
flip_by_distance,15,2222,34,49.37674305129533,51.96
flip_by_distance,15,3333,34,50.10637610220232,53.12
flip_by_distance,15,4444,34,28.524726876767147,29.88
flip_by_distance,15,5555,34,48.812459689366285,51.04
flip_by_distance,15,6666,34,52.804825255906685,55.72
flip_by_distance,15,7777,34,47.69240293762892,51.64
flip_by_distance,15,8888,34,49.8080733775883,53.0
flip_by_distance,15,9999,34,49.057211284063186,51.88
flip_by_distance,15,42,34,45.567028024009886,49.64
flip_by_distance,15,Mean,Mean,44.5107689339121,47.324
flip_by_distance,15,STD,STD,9.514485352017797,10.015307484046609
flip_by_distance,20,1111,35,18.243028988591995,19.12
flip_by_distance,20,2222,35,43.25895051730613,45.0
flip_by_distance,20,3333,35,46.75658120646769,48.64
