Method,Parameter,Seed,Trial ID,QD Score,Coverage
noisy_labels_exact,0.05,1111,50,47.14391077912932,48.96
noisy_labels_exact,0.05,2222,50,54.47925967654608,56.84
noisy_labels_exact,0.05,3333,50,56.92050144665241,60.32
noisy_labels_exact,0.05,4444,50,55.22268561198829,58.6
noisy_labels_exact,0.05,Mean,Mean,53.44158937857902,56.18
noisy_labels_exact,0.05,STD,STD,3.742079914943731,4.346262762420146
noisy_labels_exact,0.1,1111,51,39.119191395144156,41.68
noisy_labels_exact,0.1,2222,51,55.470513375686714,58.12
noisy_labels_exact,0.1,3333,51,55.333137034367105,58.2
noisy_labels_exact,0.1,4444,51,55.3476947792251,58.16
noisy_labels_exact,0.1,Mean,Mean,51.31763414610577,54.04
noisy_labels_exact,0.1,STD,STD,7.042976352299965,7.1361053803878205
noisy_labels_exact,0.2,1111,52,55.039433761699954,58.36
noisy_labels_exact,0.2,2222,52,26.086905950476687,27.04
noisy_labels_exact,0.2,3333,52,52.56127638660089,55.96
noisy_labels_exact,0.2,4444,52,53.44808514587941,56.4
noisy_labels_exact,0.2,Mean,Mean,46.78392531116424,49.440000000000005
noisy_labels_exact,0.2,STD,STD,11.982370820762286,12.964165997085967
noisy_labels_exact,0.3,1111,53,24.673958903038503,26.68
noisy_labels_exact,0.3,2222,53,49.65003178510823,51.88
noisy_labels_exact,0.3,3333,53,19.731044433452066,20.72
noisy_labels_exact,0.3,4444,53,15.529537996116604,22.72
noisy_labels_exact,0.3,Mean,Mean,27.396143279428852,30.5
noisy_labels_exact,0.3,STD,STD,13.249678323178278,12.528703045407376
noisy_labels_exact,0.4,1111,54,36.62954303929465,38.56
noisy_labels_exact,0.4,2222,54,46.80646970992935,48.32
noisy_labels_exact,0.4,3333,54,24.544982596382077,25.68
noisy_labels_exact,0.4,4444,54,22.89049372148853,25.56
noisy_labels_exact,0.4,Mean,Mean,32.717872266773654,34.53
noisy_labels_exact,0.4,STD,STD,9.710345524035333,9.554951595900421
noisy_labels_exact,0.5,1111,55,13.784750664280034,14.28
noisy_labels_exact,0.5,2222,55,16.232147707302666,18.12
noisy_labels_exact,0.5,3333,55,20.377381037741056,21.56
noisy_labels_exact,0.5,4444,55,9.253972312682546,10.48
noisy_labels_exact,0.5,Mean,Mean,14.912062930501577,16.11
noisy_labels_exact,0.5,STD,STD,4.027938313091668,4.146938629881083
noisy_labels_exact,0.6,1111,56,9.939810495749711,10.16
noisy_labels_exact,0.6,2222,56,21.72427480398256,24.08
noisy_labels_exact,0.6,3333,56,16.91877950463197,18.8
noisy_labels_exact,0.6,4444,56,7.091004726680393,7.52
noisy_labels_exact,0.6,Mean,Mean,13.91846738276116,15.139999999999997
noisy_labels_exact,0.6,STD,STD,5.7527484577065655,6.636716055399688
noisy_labels_exact,0.7,1111,57,11.114014791328792,14.92
noisy_labels_exact,0.7,2222,57,9.864086650254475,10.2
noisy_labels_exact,0.7,3333,57,17.328695432829893,19.2
noisy_labels_exact,0.7,4444,57,8.234819422415944,8.52
noisy_labels_exact,0.7,Mean,Mean,11.635404074207276,13.209999999999997
noisy_labels_exact,0.7,STD,STD,3.441909160221441,4.179126703032584
noisy_labels_exact,0.8,1111,58,12.973786264567172,14.2
noisy_labels_exact,0.8,2222,58,9.398083942531242,9.88
noisy_labels_exact,0.8,3333,58,18.630550405552437,20.0
noisy_labels_exact,0.8,4444,58,9.22264513408173,10.04
noisy_labels_exact,0.8,Mean,Mean,12.556266436683146,13.53
noisy_labels_exact,0.8,STD,STD,3.8130826176685537,4.117414237115328
noisy_labels_exact,0.9,1111,59,17.032571079247596,17.64
noisy_labels_exact,0.9,2222,59,12.916072755526404,14.52
noisy_labels_exact,0.9,3333,59,4.97318337253144,5.04
noisy_labels_exact,0.9,4444,59,6.713422788697873,6.8
noisy_labels_exact,0.9,Mean,Mean,10.408812499000828,10.999999999999998
noisy_labels_exact,0.9,STD,STD,4.831213637246874,5.235494246009636
noisy_labels_exact,0.05,1111,50,47.14391077912932,48.96
noisy_labels_exact,0.05,2222,50,54.47925967654608,56.84
noisy_labels_exact,0.05,3333,50,56.92050144665241,60.32
noisy_labels_exact,0.05,4444,50,55.22268561198829,58.6
noisy_labels_exact,0.05,5555,50,54.100935676455464,57.8
noisy_labels_exact,0.05,6666,50,56.37807090502191,59.12
noisy_labels_exact,0.05,7777,50,55.33108185837142,58.88
noisy_labels_exact,0.05,8888,50,56.33184411763037,59.6
noisy_labels_exact,0.05,9999,50,54.961952527350455,58.36
noisy_labels_exact,0.05,42,50,54.70536553433145,57.96
noisy_labels_exact,0.05,Mean,Mean,54.557560813347706,57.644000000000005
noisy_labels_exact,0.05,STD,STD,2.61627169434979,3.0381283712180434
noisy_labels_exact,0.1,1111,51,39.119191395144156,41.68
noisy_labels_exact,0.1,2222,51,55.470513375686714,58.12
noisy_labels_exact,0.1,3333,51,55.333137034367105,58.2
noisy_labels_exact,0.1,4444,51,55.3476947792251,58.16
noisy_labels_exact,0.1,5555,51,52.81063090360154,56.28
noisy_labels_exact,0.1,6666,51,53.633155532300265,55.8
noisy_labels_exact,0.1,7777,51,26.51058191392364,28.72
noisy_labels_exact,0.1,8888,51,54.28026195788556,57.32
noisy_labels_exact,0.1,9999,51,52.909121738500424,54.96
noisy_labels_exact,0.1,42,51,50.18547167922745,54.8
noisy_labels_exact,0.1,Mean,Mean,49.55997603098619,52.403999999999996
noisy_labels_exact,0.1,STD,STD,8.96154423253651,9.156041939615612
noisy_labels_exact,0.2,1111,52,55.039433761699954,58.36
noisy_labels_exact,0.2,2222,52,26.086905950476687,27.04
noisy_labels_exact,0.2,3333,52,52.56127638660089,55.96
noisy_labels_exact,0.2,4444,52,53.44808514587941,56.4
noisy_labels_exact,0.2,5555,52,52.14656347807894,56.0
noisy_labels_exact,0.2,6666,52,24.62637325992776,25.64
noisy_labels_exact,0.2,7777,52,52.717748872170716,55.28
noisy_labels_exact,0.2,8888,52,23.281782244634222,24.28
noisy_labels_exact,0.2,9999,52,53.992989108310326,57.08
noisy_labels_exact,0.2,42,52,50.98029258278908,53.44
noisy_labels_exact,0.2,Mean,Mean,44.48814507905681,46.94799999999999
noisy_labels_exact,0.2,STD,STD,13.032493483975584,14.00411425260448
noisy_labels_exact,0.3,1111,53,24.673958903038503,26.68
noisy_labels_exact,0.3,2222,53,49.65003178510823,51.88
noisy_labels_exact,0.3,3333,53,19.731044433452066,20.72
noisy_labels_exact,0.3,4444,53,15.529537996116604,22.72
noisy_labels_exact,0.3,5555,53,49.13054521275364,53.2
noisy_labels_exact,0.3,6666,53,49.715146324807854,51.84
noisy_labels_exact,0.3,7777,53,49.99126369428549,52.72
noisy_labels_exact,0.3,8888,53,18.467990965791948,19.36
noisy_labels_exact,0.3,9999,53,51.72463260106955,53.76
noisy_labels_exact,0.3,42,53,19.012692435566077,24.08
noisy_labels_exact,0.3,Mean,Mean,34.762684435199,37.696
noisy_labels_exact,0.3,STD,STD,15.43530936533252,15.102341010585082
noisy_labels_exact,0.4,1111,54,36.62954303929465,38.56
noisy_labels_exact,0.4,2222,54,46.80646970992935,48.32
