Method,Parameter,Seed,Trial ID,QD Score,Coverage
noisy_labels_exact,0.05,1111,50,47.14391077912932,48.96
noisy_labels_exact,0.05,2222,50,54.47925967654608,56.84
noisy_labels_exact,0.05,3333,50,56.92050144665241,60.32
noisy_labels_exact,0.05,4444,50,55.22268561198829,58.6
noisy_labels_exact,0.05,Mean,Mean,53.44158937857902,56.18
noisy_labels_exact,0.05,STD,STD,3.742079914943731,4.346262762420146
noisy_labels_exact,0.1,1111,51,39.119191395144156,41.68
noisy_labels_exact,0.1,2222,51,55.470513375686714,58.12
noisy_labels_exact,0.1,3333,51,55.333137034367105,58.2
noisy_labels_exact,0.1,4444,51,55.3476947792251,58.16
noisy_labels_exact,0.1,Mean,Mean,51.31763414610577,54.04
noisy_labels_exact,0.1,STD,STD,7.042976352299965,7.1361053803878205
