Method,Parameter,Seed,Trial ID,QD Score,Coverage
stochastic,0.05,1111,10,51.544186642815205,55.8
stochastic,0.05,2222,10,56.491483415851334,59.2
stochastic,0.05,3333,10,57.332594017508534,60.64
stochastic,0.05,4444,10,46.62834828124833,49.36
stochastic,0.05,Mean,Mean,52.99915308935585,56.25
stochastic,0.05,STD,STD,4.291828358948953,4.348827428169576
stochastic,0.1,1111,11,53.946961082890454,57.68
stochastic,0.1,2222,11,53.99495810107372,56.36
stochastic,0.1,3333,11,52.8457505428274,55.16
stochastic,0.1,4444,11,53.45549522007601,56.64
stochastic,0.1,Mean,Mean,53.5607912367169,56.459999999999994
stochastic,0.1,STD,STD,0.4636805099520443,0.8973293709669834
stochastic,0.2,1111,12,52.67286472718848,57.44
stochastic,0.2,2222,12,55.76037075174355,58.72
stochastic,0.2,3333,12,55.31633527469606,58.16
stochastic,0.2,4444,12,54.364605178952274,56.92
stochastic,0.2,Mean,Mean,54.52854398314509,57.81
stochastic,0.2,STD,STD,1.184106597754939,0.6854925236645536
stochastic,0.3,1111,13,43.862026878296,47.08
stochastic,0.3,2222,13,21.247434929951133,22.52
stochastic,0.3,3333,13,47.75786011183637,50.52
stochastic,0.3,4444,13,18.774315165231055,19.48
stochastic,0.3,Mean,Mean,32.91040927132864,34.9
stochastic,0.3,STD,STD,13.002296448460635,13.994441753782107
stochastic,0.4,1111,14,15.182887876673098,15.8
stochastic,0.4,2222,14,19.83597653917055,20.88
stochastic,0.4,3333,14,18.68916482306361,20.68
stochastic,0.4,4444,14,17.442030473779365,19.04
stochastic,0.4,Mean,Mean,17.787514928171657,19.1
stochastic,0.4,STD,STD,1.725732387301089,2.034600697925762
stochastic,0.5,1111,15,13.514177627056698,14.32
stochastic,0.5,2222,15,10.925871117169908,12.48
stochastic,0.5,3333,15,15.176955495318083,16.64
stochastic,0.5,4444,15,15.831355728425091,17.24
stochastic,0.5,Mean,Mean,13.862089991992445,15.169999999999998
stochastic,0.5,STD,STD,1.8940237014793864,1.897656449413328
stochastic,0.6,1111,16,10.65764348813284,11.48
stochastic,0.6,2222,16,15.169988995364696,17.64
