Method,Parameter,Seed,Trial ID,QD Score,Coverage
flip_labels_asymmetric,0.05,1111,40,22.6780354385376,26.2
flip_labels_asymmetric,0.05,2222,40,23.340803494119644,26.6
flip_labels_asymmetric,0.05,3333,40,22.09724788379669,25.2
flip_labels_asymmetric,0.05,4444,40,20.641540649700165,25.08
flip_labels_asymmetric,0.05,Mean,Mean,22.189406866538523,25.77
flip_labels_asymmetric,0.05,STD,STD,0.9960992895676284,0.647070320753472
flip_labels_asymmetric,0.1,1111,41,21.96063276195526,24.8
flip_labels_asymmetric,0.1,2222,41,25.037990947389602,30.36
flip_labels_asymmetric,0.1,3333,41,23.637136798477172,26.56
flip_labels_asymmetric,0.1,4444,41,20.55577790622711,23.68
flip_labels_asymmetric,0.1,Mean,Mean,22.797884603512284,26.35
flip_labels_asymmetric,0.1,STD,STD,1.6919259563316036,2.532567866810285
flip_labels_asymmetric,0.2,1111,42,20.80335429639816,23.44
flip_labels_asymmetric,0.2,2222,42,20.15028725118637,27.76
flip_labels_asymmetric,0.2,3333,42,20.56270293445587,25.48
flip_labels_asymmetric,0.2,4444,42,,
flip_labels_asymmetric,0.2,Mean,Mean,20.505448160680135,25.560000000000002
flip_labels_asymmetric,0.2,STD,STD,0.26966982679503737,1.7645396000090225
flip_labels_asymmetric,0.3,1111,43,,
flip_labels_asymmetric,0.3,2222,43,,
flip_labels_asymmetric,0.3,3333,43,,
flip_labels_asymmetric,0.3,4444,43,,
flip_labels_asymmetric,0.3,Mean,Mean,,
flip_labels_asymmetric,0.3,STD,STD,,
flip_labels_asymmetric,0.4,1111,44,,
flip_labels_asymmetric,0.4,2222,44,,
flip_labels_asymmetric,0.4,3333,44,,
flip_labels_asymmetric,0.4,4444,44,,
flip_labels_asymmetric,0.4,Mean,Mean,,
flip_labels_asymmetric,0.4,STD,STD,,
flip_labels_asymmetric,0.5,1111,45,,
flip_labels_asymmetric,0.5,2222,45,,
flip_labels_asymmetric,0.5,3333,45,,
flip_labels_asymmetric,0.5,4444,45,,
flip_labels_asymmetric,0.5,Mean,Mean,,
flip_labels_asymmetric,0.5,STD,STD,,
flip_labels_asymmetric,0.6,1111,46,,
flip_labels_asymmetric,0.6,2222,46,,
flip_labels_asymmetric,0.6,3333,46,,
flip_labels_asymmetric,0.6,4444,46,,
flip_labels_asymmetric,0.6,Mean,Mean,,
flip_labels_asymmetric,0.6,STD,STD,,
flip_labels_asymmetric,0.7,1111,47,,
flip_labels_asymmetric,0.7,2222,47,,
flip_labels_asymmetric,0.7,3333,47,,
flip_labels_asymmetric,0.7,4444,47,,
flip_labels_asymmetric,0.7,Mean,Mean,,
flip_labels_asymmetric,0.7,STD,STD,,
flip_labels_asymmetric,0.8,1111,48,,
flip_labels_asymmetric,0.8,2222,48,,
flip_labels_asymmetric,0.8,3333,48,,
flip_labels_asymmetric,0.8,4444,48,,
flip_labels_asymmetric,0.8,Mean,Mean,,
flip_labels_asymmetric,0.8,STD,STD,,
flip_labels_asymmetric,0.9,1111,49,,
flip_labels_asymmetric,0.9,2222,49,,
flip_labels_asymmetric,0.9,3333,49,,
flip_labels_asymmetric,0.9,4444,49,,
flip_labels_asymmetric,0.9,Mean,Mean,,
flip_labels_asymmetric,0.9,STD,STD,,
